date,game,minimum,prediction,confidence,score,actual_total,went_over,result,reasoning
2025-10-27,Boston Celtics @ New Orleans Pelicans,207.0,NO,45,45,212.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.4) | Average pace (97.4) | Boston Celtics hot (HOT)
2025-10-27,Brooklyn Nets @ Houston Rockets,219.0,MAYBE,72,72,246.0,True,SKIPPED,Elite offense (avg ORtg: 117.2) | Above average pace (98.6) | Houston Rockets hot (HOT)
2025-10-27,Cleveland Cavaliers @ Detroit Pistons,222.5,MAYBE,74,74,211.0,False,SKIPPED,Elite offense (avg ORtg: 117.2) | Fast pace (101.3) | Detroit Pistons hot (WARM)
2025-10-27,Phoenix Suns @ Utah Jazz,213.5,NO,57,57,272.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.7) | Above average pace (99.4) | Utah Jazz hot (HOT)
2025-10-27,Boston Celtics @ New Orleans Pelicans,207.0,NO,45,45,212.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.4) | Average pace (97.4) | Boston Celtics hot (HOT)
2025-11-01,Orlando Magic @ Washington Wizards,213.5,NO,57,57,219.0,True,SKIPPED,Fast pace (102.8) | Washington Wizards hot (HOT) | Good buffer (15.0 pts above minimum)
2025-11-01,Orlando Magic @ Washington Wizards,213.5,NO,57,57,219.0,True,SKIPPED,Fast pace (102.8) | Washington Wizards hot (HOT) | Good buffer (15.0 pts above minimum)
2025-11-01,Houston Rockets @ Boston Celtics,221.0,MAYBE,70,70,229.0,True,SKIPPED,Elite offense (avg ORtg: 119.5) | Average pace (97.3) | Both teams hot (HOT/HOT)
2025-11-01,Dallas Mavericks @ Detroit Pistons,208.0,NO,57,57,232.0,True,SKIPPED,Fast pace (101.5) | Detroit Pistons hot (WARM) | Good buffer (15.2 pts above minimum)
2025-11-01,Houston Rockets @ Boston Celtics,221.0,MAYBE,70,70,229.0,True,SKIPPED,Elite offense (avg ORtg: 119.5) | Average pace (97.3) | Both teams hot (HOT/HOT)
2025-11-01,Minnesota Timberwolves @ Charlotte Hornets,223.0,YES,80,80,227.0,True,WIN,Elite offense (avg ORtg: 118.5) | Fast pace (100.3) | Both teams neutral form
2025-11-01,Sacramento Kings @ Milwaukee Bucks,220.5,MAYBE,73,73,268.0,True,SKIPPED,Strong offense (avg ORtg: 115.3) | Fast pace (102.2) | Both teams neutral form
