date,game,minimum,prediction,confidence,score,actual_total,went_over,result,reasoning
2025-11-01,Minnesota Timberwolves @ Charlotte Hornets,221.0,MAYBE,74,74,227.0,True,SKIPPED,Elite offense (avg ORtg: 117.2) | Above average pace (99.5) | Charlotte Hornets hot (WARM)
2025-11-01,Sacramento Kings @ Milwaukee Bucks,213.0,NO,64,64,268.0,True,SKIPPED,Above-avg offense (avg ORtg: 112.5) | Fast pace (100.4) | Sacramento Kings hot (WARM)
2025-11-01,Dallas Mavericks @ Detroit Pistons,215.0,NO,52,52,232.0,True,SKIPPED,Above-avg offense (avg ORtg: 112.2) | Fast pace (101.5) | Moderate buffer (14.9 pts above minimum)
2025-11-01,Houston Rockets @ Boston Celtics,222.0,NO,65,65,229.0,True,SKIPPED,Elite offense (avg ORtg: 122.1) | Average pace (96.2) | Boston Celtics hot (HOT)
2025-11-01,Dallas Mavericks @ Detroit Pistons,215.0,NO,52,52,232.0,True,SKIPPED,Above-avg offense (avg ORtg: 112.2) | Fast pace (101.5) | Moderate buffer (14.9 pts above minimum)
2025-11-15,Memphis Grizzlies @ Cleveland Cavaliers,218.0,MAYBE,77,77,208.0,False,SKIPPED,Strong offense (avg ORtg: 115.0) | Fast pace (100.8) | Memphis Grizzlies hot (WARM)
2025-11-15,Oklahoma City Thunder @ Charlotte Hornets,222.5,MAYBE,72,72,205.0,False,SKIPPED,Elite offense (avg ORtg: 117.7) | Above average pace (99.4) | Charlotte Hornets hot (WARM)
2025-11-15,Toronto Raptors @ Indiana Pacers,213.0,NO,52,52,240.0,True,SKIPPED,Above-avg offense (avg ORtg: 112.5) | Fast pace (100.5) | Moderate buffer (14.9 pts above minimum)
2025-11-15,Denver Nuggets @ Minnesota Timberwolves,230.0,NO,68,68,235.0,True,SKIPPED,Elite offense (avg ORtg: 122.3) | Above average pace (99.4) | Both teams neutral form
2025-11-15,Denver Nuggets @ Minnesota Timberwolves,230.0,NO,68,68,235.0,True,SKIPPED,Elite offense (avg ORtg: 122.3) | Above average pace (99.4) | Both teams neutral form
2025-11-15,Los Angeles Lakers @ Milwaukee Bucks,220.0,NO,55,55,214.0,False,SKIPPED,Elite offense (avg ORtg: 117.5) | Above average pace (99.6) | Good buffer (15.1 pts above minimum)
2025-11-15,Toronto Raptors @ Indiana Pacers,213.0,NO,52,52,240.0,True,SKIPPED,Above-avg offense (avg ORtg: 112.5) | Fast pace (100.5) | Moderate buffer (14.9 pts above minimum)
2025-11-15,Oklahoma City Thunder @ Charlotte Hornets,222.5,MAYBE,72,72,205.0,False,SKIPPED,Elite offense (avg ORtg: 117.7) | Above average pace (99.4) | Charlotte Hornets hot (WARM)
2025-11-15,Memphis Grizzlies @ Cleveland Cavaliers,218.0,MAYBE,77,77,208.0,False,SKIPPED,Strong offense (avg ORtg: 115.0) | Fast pace (100.8) | Memphis Grizzlies hot (WARM)
2025-11-15,Los Angeles Lakers @ Milwaukee Bucks,220.0,NO,55,55,214.0,False,SKIPPED,Elite offense (avg ORtg: 117.5) | Above average pace (99.6) | Good buffer (15.1 pts above minimum)
2025-11-22,Detroit Pistons @ Milwaukee Bucks,220.0,YES,80,80,245.0,True,WIN,Elite offense (avg ORtg: 116.2) | Fast pace (100.2) | Both teams neutral form
2025-11-22,Washington Wizards @ Chicago Bulls,218.0,NO,50,50,241.0,True,SKIPPED,Above-avg offense (avg ORtg: 112.2) | Fast pace (102.7) | Both teams neutral form
2025-11-22,Los Angeles Clippers @ Charlotte Hornets,212.5,NO,67,67,247.0,True,SKIPPED,Strong offense (avg ORtg: 114.6) | Above average pace (98.3) | Charlotte Hornets hot (WARM)
2025-11-22,Atlanta Hawks @ New Orleans Pelicans,215.5,NO,62,62,213.0,False,SKIPPED,Above-avg offense (avg ORtg: 113.8) | Fast pace (100.2) | Atlanta Hawks hot (WARM)
2025-11-22,New York Knicks @ Orlando Magic,225.0,MAYBE,74,74,254.0,True,SKIPPED,Elite offense (avg ORtg: 120.0) | Above average pace (99.7) | New York Knicks hot (HOT)
2025-11-22,Los Angeles Clippers @ Charlotte Hornets,212.5,NO,67,67,247.0,True,SKIPPED,Strong offense (avg ORtg: 114.6) | Above average pace (98.3) | Charlotte Hornets hot (WARM)
2025-11-22,Washington Wizards @ Chicago Bulls,218.0,NO,50,50,241.0,True,SKIPPED,Above-avg offense (avg ORtg: 112.2) | Fast pace (102.7) | Both teams neutral form
2025-11-22,Detroit Pistons @ Milwaukee Bucks,220.0,YES,80,80,245.0,True,WIN,Elite offense (avg ORtg: 116.2) | Fast pace (100.2) | Both teams neutral form
2025-11-22,Memphis Grizzlies @ Dallas Mavericks,209.5,NO,52,52,198.0,False,SKIPPED,Fast pace (101.3) | Memphis Grizzlies hot (WARM) | Good buffer (15.2 pts above minimum)
2025-11-22,New York Knicks @ Orlando Magic,225.0,MAYBE,74,74,254.0,True,SKIPPED,Elite offense (avg ORtg: 120.0) | Above average pace (99.7) | New York Knicks hot (HOT)
2025-11-22,Sacramento Kings @ Denver Nuggets,221.5,MAYBE,79,79,251.0,True,SKIPPED,Elite offense (avg ORtg: 117.5) | Fast pace (100.1) | Sacramento Kings hot (WARM)
2025-11-22,Memphis Grizzlies @ Dallas Mavericks,209.5,NO,52,52,198.0,False,SKIPPED,Fast pace (101.3) | Memphis Grizzlies hot (WARM) | Good buffer (15.2 pts above minimum)
2025-11-22,Sacramento Kings @ Denver Nuggets,221.5,MAYBE,79,79,251.0,True,SKIPPED,Elite offense (avg ORtg: 117.5) | Fast pace (100.1) | Sacramento Kings hot (WARM)
2025-11-22,Atlanta Hawks @ New Orleans Pelicans,215.5,NO,62,62,213.0,False,SKIPPED,Above-avg offense (avg ORtg: 113.8) | Fast pace (100.2) | Atlanta Hawks hot (WARM)
2025-11-29,New Orleans Pelicans @ Golden State Warriors,212.0,NO,45,45,200.0,False,SKIPPED,Above-avg offense (avg ORtg: 113.2) | Above average pace (99.4) | Good buffer (15.0 pts above minimum)
2025-11-29,Brooklyn Nets @ Milwaukee Bucks,210.0,NO,44,44,215.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.6) | Above average pace (98.4) | Brooklyn Nets hot (WARM)
2025-11-29,Detroit Pistons @ Miami Heat,228.0,MAYBE,70,70,273.0,True,SKIPPED,Elite offense (avg ORtg: 117.1) | Fast pace (103.2) | Good buffer (15.1 pts above minimum)
2025-11-29,Chicago Bulls @ Indiana Pacers,215.0,NO,35,35,204.0,False,SKIPPED,Fast pace (102.2) | Good buffer (15.2 pts above minimum)
2025-11-29,Denver Nuggets @ Phoenix Suns,226.5,NO,63,63,242.0,True,SKIPPED,Elite offense (avg ORtg: 121.5) | Above average pace (98.9) | Both teams neutral form
2025-11-29,Chicago Bulls @ Indiana Pacers,215.0,NO,35,35,204.0,False,SKIPPED,Fast pace (102.2) | Good buffer (15.2 pts above minimum)
2025-11-29,Toronto Raptors @ Charlotte Hornets,218.0,NO,69,69,229.0,True,SKIPPED,Elite offense (avg ORtg: 116.0) | Above average pace (99.6) | Charlotte Hornets hot (WARM)
2025-11-29,Detroit Pistons @ Miami Heat,228.0,MAYBE,70,70,273.0,True,SKIPPED,Elite offense (avg ORtg: 117.1) | Fast pace (103.2) | Good buffer (15.1 pts above minimum)
2025-11-29,Brooklyn Nets @ Milwaukee Bucks,210.0,NO,44,44,215.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.6) | Above average pace (98.4) | Brooklyn Nets hot (WARM)
2025-11-29,New Orleans Pelicans @ Golden State Warriors,212.0,NO,45,45,200.0,False,SKIPPED,Above-avg offense (avg ORtg: 113.2) | Above average pace (99.4) | Good buffer (15.0 pts above minimum)
2025-11-29,Denver Nuggets @ Phoenix Suns,226.5,NO,63,63,242.0,True,SKIPPED,Elite offense (avg ORtg: 121.5) | Above average pace (98.9) | Both teams neutral form
2025-11-29,Dallas Mavericks @ Los Angeles Clippers,208.5,NO,22,22,224.0,True,SKIPPED,Above average pace (99.8) | Moderate buffer (14.9 pts above minimum)
2025-11-29,Dallas Mavericks @ Los Angeles Clippers,208.5,NO,22,22,224.0,True,SKIPPED,Above average pace (99.8) | Moderate buffer (14.9 pts above minimum)
2025-11-29,Boston Celtics @ Minnesota Timberwolves,221.0,NO,67,67,234.0,True,SKIPPED,Elite offense (avg ORtg: 119.8) | Average pace (97.8) | Boston Celtics hot (HOT)
2025-11-29,Toronto Raptors @ Charlotte Hornets,218.0,NO,69,69,229.0,True,SKIPPED,Elite offense (avg ORtg: 116.0) | Above average pace (99.6) | Charlotte Hornets hot (WARM)
2025-11-29,Boston Celtics @ Minnesota Timberwolves,221.0,NO,67,67,234.0,True,SKIPPED,Elite offense (avg ORtg: 119.8) | Average pace (97.8) | Boston Celtics hot (HOT)
2025-11-08,Indiana Pacers @ Denver Nuggets,220.0,NO,57,57,217.0,False,SKIPPED,Elite offense (avg ORtg: 116.7) | Above average pace (99.9) | Moderate buffer (14.8 pts above minimum)
2025-11-08,Toronto Raptors @ Philadelphia 76ers,221.0,MAYBE,78,78,250.0,True,SKIPPED,Elite offense (avg ORtg: 116.3) | Fast pace (100.1) | Both teams neutral form
2025-11-08,New Orleans Pelicans @ San Antonio Spurs,217.0,NO,47,47,245.0,True,SKIPPED,Strong offense (avg ORtg: 115.9) | Above average pace (99.1) | Moderate buffer (14.8 pts above minimum)
2025-11-08,Los Angeles Lakers @ Atlanta Hawks,222.0,YES,82,82,224.0,True,WIN,Elite offense (avg ORtg: 117.3) | Fast pace (100.6) | Atlanta Hawks hot (WARM)
2025-11-08,Los Angeles Lakers @ Atlanta Hawks,222.0,YES,82,82,224.0,True,WIN,Elite offense (avg ORtg: 117.3) | Fast pace (100.6) | Atlanta Hawks hot (WARM)
2025-11-08,Chicago Bulls @ Cleveland Cavaliers,224.5,MAYBE,73,73,250.0,True,SKIPPED,Elite offense (avg ORtg: 116.2) | Fast pace (102.2) | Both teams neutral form
2025-11-08,Portland Trail Blazers @ Miami Heat,227.5,YES,82,82,267.0,True,WIN,Elite offense (avg ORtg: 116.2) | Fast pace (103.8) | Portland Trail Blazers hot (HOT)
2025-11-08,Toronto Raptors @ Philadelphia 76ers,221.0,MAYBE,78,78,250.0,True,SKIPPED,Elite offense (avg ORtg: 116.3) | Fast pace (100.1) | Both teams neutral form
2025-11-08,New Orleans Pelicans @ San Antonio Spurs,217.0,NO,47,47,245.0,True,SKIPPED,Strong offense (avg ORtg: 115.9) | Above average pace (99.1) | Moderate buffer (14.8 pts above minimum)
2025-11-08,Indiana Pacers @ Denver Nuggets,220.0,NO,57,57,217.0,False,SKIPPED,Elite offense (avg ORtg: 116.7) | Above average pace (99.9) | Moderate buffer (14.8 pts above minimum)
2025-11-08,Phoenix Suns @ Los Angeles Clippers,214.5,NO,52,52,217.0,True,SKIPPED,Strong offense (avg ORtg: 115.8) | Above average pace (98.3) | Moderate buffer (14.8 pts above minimum)
2025-11-08,Phoenix Suns @ Los Angeles Clippers,214.5,NO,52,52,217.0,True,SKIPPED,Strong offense (avg ORtg: 115.8) | Above average pace (98.3) | Moderate buffer (14.8 pts above minimum)
2025-11-08,Dallas Mavericks @ Washington Wizards,209.0,NO,32,32,216.0,True,SKIPPED,Fast pace (102.0) | Moderate buffer (14.9 pts above minimum)
2025-11-08,Portland Trail Blazers @ Miami Heat,227.5,YES,82,82,267.0,True,WIN,Elite offense (avg ORtg: 116.2) | Fast pace (103.8) | Portland Trail Blazers hot (HOT)
2025-11-08,Chicago Bulls @ Cleveland Cavaliers,224.5,MAYBE,73,73,250.0,True,SKIPPED,Elite offense (avg ORtg: 116.2) | Fast pace (102.2) | Both teams neutral form
2025-11-08,Dallas Mavericks @ Washington Wizards,209.0,NO,32,32,216.0,True,SKIPPED,Fast pace (102.0) | Moderate buffer (14.9 pts above minimum)
2025-10-25,Oklahoma City Thunder @ Atlanta Hawks,225.5,MAYBE,79,79,217.0,False,SKIPPED,Elite offense (avg ORtg: 117.7) | Fast pace (100.6) | Atlanta Hawks hot (WARM)
2025-10-25,Charlotte Hornets @ Philadelphia 76ers,218.5,NO,67,67,246.0,True,SKIPPED,Strong offense (avg ORtg: 115.4) | Above average pace (99.6) | Charlotte Hornets hot (WARM)
2025-10-25,Indiana Pacers @ Memphis Grizzlies,209.0,NO,49,49,231.0,True,SKIPPED,Fast pace (100.8) | Memphis Grizzlies hot (WARM) | Moderate buffer (14.8 pts above minimum)
