date,game,minimum,prediction,confidence,score,actual_total,went_over,result,reasoning
2025-11-03,Miami Heat @ Los Angeles Clippers,218.5,NO,57,57,239.0,True,SKIPPED,Strong offense (avg ORtg: 115.5) | Fast pace (100.9) | Moderate buffer (14.8 pts above minimum)
2025-11-03,Los Angeles Lakers @ Portland Trail Blazers,225.0,YES,82,82,238.0,True,WIN,Elite offense (avg ORtg: 117.3) | Fast pace (102.3) | Portland Trail Blazers hot (WARM)
2025-11-03,Sacramento Kings @ Denver Nuggets,225.0,YES,83,83,254.0,True,WIN,Elite offense (avg ORtg: 118.2) | Fast pace (101.1) | Both teams neutral form
2025-11-03,Detroit Pistons @ Memphis Grizzlies,217.0,NO,69,69,220.0,True,SKIPPED,Strong offense (avg ORtg: 114.2) | Fast pace (101.5) | Detroit Pistons hot (WARM)
2025-11-03,Dallas Mavericks @ Houston Rockets,214.0,NO,64,64,212.0,False,SKIPPED,Above-avg offense (avg ORtg: 112.8) | Fast pace (100.2) | Houston Rockets hot (HOT)
2025-11-03,Washington Wizards @ New York Knicks,216.0,MAYBE,70,70,221.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.7) | Fast pace (101.2) | Both teams hot (HOT/WARM)
2025-11-03,Utah Jazz @ Boston Celtics,210.0,NO,60,60,208.0,False,SKIPPED,Above-avg offense (avg ORtg: 113.8) | Above average pace (98.4) | Both teams hot (HOT/HOT)
2025-11-03,Minnesota Timberwolves @ Brooklyn Nets,215.0,NO,58,58,234.0,True,SKIPPED,Strong offense (avg ORtg: 115.8) | Above average pace (99.3) | Both teams neutral form
2025-10-27,Orlando Magic @ Philadelphia 76ers,225.5,YES,80,80,260.0,True,WIN,Elite offense (avg ORtg: 117.6) | Fast pace (101.5) | Both teams neutral form
2025-10-27,Memphis Grizzlies @ Golden State Warriors,216.0,NO,55,55,249.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.7) | Fast pace (101.2) | Good buffer (15.2 pts above minimum)
2025-10-27,Phoenix Suns @ Utah Jazz,214.0,NO,54,54,272.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.2) | Above average pace (100.0) | Utah Jazz hot (HOT)
2025-10-27,Oklahoma City Thunder @ Dallas Mavericks,214.0,NO,40,40,195.0,False,SKIPPED,Fast pace (100.8) | Good buffer (15.2 pts above minimum) | Dallas Mavericks on back-to-back
2025-10-27,Toronto Raptors @ San Antonio Spurs,222.5,MAYBE,77,77,224.0,True,SKIPPED,Elite offense (avg ORtg: 117.8) | Fast pace (100.2) | Toronto Raptors hot (HOT)
2025-10-27,Boston Celtics @ New Orleans Pelicans,206.0,NO,42,42,212.0,True,SKIPPED,Above-avg offense (avg ORtg: 112.8) | Average pace (97.3) | Boston Celtics hot (HOT)
2025-10-27,Brooklyn Nets @ Houston Rockets,219.0,MAYBE,72,72,246.0,True,SKIPPED,Elite offense (avg ORtg: 117.2) | Above average pace (98.6) | Houston Rockets hot (HOT)
2025-10-27,Cleveland Cavaliers @ Detroit Pistons,221.5,MAYBE,77,77,211.0,False,SKIPPED,Elite offense (avg ORtg: 116.8) | Fast pace (101.3) | Detroit Pistons hot (WARM)
2025-10-27,Denver Nuggets @ Minnesota Timberwolves,229.0,NO,65,65,241.0,True,SKIPPED,Elite offense (avg ORtg: 121.6) | Above average pace (99.6) | Both teams neutral form
2025-10-27,Atlanta Hawks @ Chicago Bulls,218.5,MAYBE,77,77,251.0,True,SKIPPED,Strong offense (avg ORtg: 114.7) | Fast pace (101.9) | Atlanta Hawks hot (HOT)
2025-10-27,Portland Trail Blazers @ Los Angeles Lakers,225.0,MAYBE,77,77,230.0,True,SKIPPED,Elite offense (avg ORtg: 117.3) | Fast pace (102.3) | Portland Trail Blazers hot (WARM)
2025-10-27,Portland Trail Blazers @ Los Angeles Lakers,225.0,MAYBE,77,77,230.0,True,SKIPPED,Elite offense (avg ORtg: 117.3) | Fast pace (102.3) | Portland Trail Blazers hot (WARM)
2025-10-27,Memphis Grizzlies @ Golden State Warriors,216.0,NO,55,55,249.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.7) | Fast pace (101.2) | Good buffer (15.2 pts above minimum)
2025-10-27,Cleveland Cavaliers @ Detroit Pistons,221.5,MAYBE,77,77,211.0,False,SKIPPED,Elite offense (avg ORtg: 116.8) | Fast pace (101.3) | Detroit Pistons hot (WARM)
2025-10-27,Denver Nuggets @ Minnesota Timberwolves,229.0,NO,65,65,241.0,True,SKIPPED,Elite offense (avg ORtg: 121.6) | Above average pace (99.6) | Both teams neutral form
2025-10-27,Phoenix Suns @ Utah Jazz,214.0,NO,54,54,272.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.2) | Above average pace (100.0) | Utah Jazz hot (HOT)
2025-10-27,Oklahoma City Thunder @ Dallas Mavericks,214.0,NO,40,40,195.0,False,SKIPPED,Fast pace (100.8) | Good buffer (15.2 pts above minimum) | Dallas Mavericks on back-to-back
2025-10-27,Toronto Raptors @ San Antonio Spurs,222.5,MAYBE,77,77,224.0,True,SKIPPED,Elite offense (avg ORtg: 117.8) | Fast pace (100.2) | Toronto Raptors hot (HOT)
2025-10-27,Boston Celtics @ New Orleans Pelicans,206.0,NO,42,42,212.0,True,SKIPPED,Above-avg offense (avg ORtg: 112.8) | Average pace (97.3) | Boston Celtics hot (HOT)
2025-10-27,Brooklyn Nets @ Houston Rockets,219.0,MAYBE,72,72,246.0,True,SKIPPED,Elite offense (avg ORtg: 117.2) | Above average pace (98.6) | Houston Rockets hot (HOT)
2025-10-27,Atlanta Hawks @ Chicago Bulls,218.5,MAYBE,77,77,251.0,True,SKIPPED,Strong offense (avg ORtg: 114.7) | Fast pace (101.9) | Atlanta Hawks hot (HOT)
2025-10-27,Orlando Magic @ Philadelphia 76ers,225.5,YES,80,80,260.0,True,WIN,Elite offense (avg ORtg: 117.6) | Fast pace (101.5) | Both teams neutral form
2025-11-01,Minnesota Timberwolves @ Charlotte Hornets,223.0,YES,80,80,227.0,True,WIN,Elite offense (avg ORtg: 118.5) | Fast pace (100.3) | Both teams neutral form
2025-11-01,Golden State Warriors @ Indiana Pacers,212.5,NO,40,40,223.0,True,SKIPPED,Fast pace (101.0) | Good buffer (15.2 pts above minimum) | Indiana Pacers on back-to-back
2025-11-01,Sacramento Kings @ Milwaukee Bucks,220.5,MAYBE,73,73,268.0,True,SKIPPED,Strong offense (avg ORtg: 115.3) | Fast pace (102.2) | Both teams neutral form
2025-11-01,Dallas Mavericks @ Detroit Pistons,207.5,NO,57,57,232.0,True,SKIPPED,Fast pace (101.7) | Detroit Pistons hot (WARM) | Good buffer (15.2 pts above minimum)
2025-11-01,Orlando Magic @ Washington Wizards,214.0,NO,57,57,219.0,True,SKIPPED,Fast pace (103.0) | Washington Wizards hot (HOT) | Good buffer (15.1 pts above minimum)
2025-11-01,Houston Rockets @ Boston Celtics,221.0,MAYBE,70,70,229.0,True,SKIPPED,Elite offense (avg ORtg: 119.5) | Average pace (97.3) | Both teams hot (HOT/HOT)
2025-11-01,Dallas Mavericks @ Detroit Pistons,207.5,NO,57,57,232.0,True,SKIPPED,Fast pace (101.7) | Detroit Pistons hot (WARM) | Good buffer (15.2 pts above minimum)
2025-11-01,Sacramento Kings @ Milwaukee Bucks,220.5,MAYBE,73,73,268.0,True,SKIPPED,Strong offense (avg ORtg: 115.3) | Fast pace (102.2) | Both teams neutral form
2025-11-01,Minnesota Timberwolves @ Charlotte Hornets,223.0,YES,80,80,227.0,True,WIN,Elite offense (avg ORtg: 118.5) | Fast pace (100.3) | Both teams neutral form
2025-11-01,Golden State Warriors @ Indiana Pacers,212.5,NO,40,40,223.0,True,SKIPPED,Fast pace (101.0) | Good buffer (15.2 pts above minimum) | Indiana Pacers on back-to-back
2025-11-01,Orlando Magic @ Washington Wizards,214.0,NO,57,57,219.0,True,SKIPPED,Fast pace (103.0) | Washington Wizards hot (HOT) | Good buffer (15.1 pts above minimum)
2025-11-01,Houston Rockets @ Boston Celtics,221.0,MAYBE,70,70,229.0,True,SKIPPED,Elite offense (avg ORtg: 119.5) | Average pace (97.3) | Both teams hot (HOT/HOT)
2025-10-25,Phoenix Suns @ Denver Nuggets,227.0,NO,65,65,244.0,True,SKIPPED,Elite offense (avg ORtg: 119.4) | Above average pace (100.0) | Both teams neutral form
2025-10-25,Indiana Pacers @ Memphis Grizzlies,211.5,NO,48,48,231.0,True,SKIPPED,Fast pace (102.2) | Both teams neutral form | Good buffer (15.2 pts above minimum)
2025-10-25,Charlotte Hornets @ Philadelphia 76ers,227.5,YES,80,80,246.0,True,WIN,Elite offense (avg ORtg: 119.1) | Fast pace (101.0) | Both teams neutral form
2025-10-25,Oklahoma City Thunder @ Atlanta Hawks,222.5,MAYBE,72,72,217.0,False,SKIPPED,Strong offense (avg ORtg: 115.9) | Fast pace (100.5) | Atlanta Hawks hot (HOT)
2025-10-25,Phoenix Suns @ Denver Nuggets,227.0,NO,65,65,244.0,True,SKIPPED,Elite offense (avg ORtg: 119.4) | Above average pace (100.0) | Both teams neutral form
2025-10-25,Charlotte Hornets @ Philadelphia 76ers,227.5,YES,80,80,246.0,True,WIN,Elite offense (avg ORtg: 119.1) | Fast pace (101.0) | Both teams neutral form
2025-10-25,Chicago Bulls @ Orlando Magic,221.0,NO,68,68,208.0,False,SKIPPED,Strong offense (avg ORtg: 115.7) | Fast pace (102.0) | Both teams neutral form
2025-10-25,Oklahoma City Thunder @ Atlanta Hawks,222.5,MAYBE,72,72,217.0,False,SKIPPED,Strong offense (avg ORtg: 115.9) | Fast pace (100.5) | Atlanta Hawks hot (HOT)
2025-10-25,Chicago Bulls @ Orlando Magic,221.0,NO,68,68,208.0,False,SKIPPED,Strong offense (avg ORtg: 115.7) | Fast pace (102.0) | Both teams neutral form
2025-10-25,Indiana Pacers @ Memphis Grizzlies,211.5,NO,48,48,231.0,True,SKIPPED,Fast pace (102.2) | Both teams neutral form | Good buffer (15.2 pts above minimum)
2025-11-02,Memphis Grizzlies @ Toronto Raptors,219.5,MAYBE,74,74,221.0,True,SKIPPED,Strong offense (avg ORtg: 114.8) | Fast pace (102.1) | Toronto Raptors hot (HOT)
2025-11-02,Chicago Bulls @ New York Knicks,223.0,YES,87,87,244.0,True,WIN,Elite offense (avg ORtg: 118.8) | Fast pace (100.2) | New York Knicks hot (WARM)
2025-11-02,Memphis Grizzlies @ Toronto Raptors,219.5,MAYBE,74,74,221.0,True,SKIPPED,Strong offense (avg ORtg: 114.8) | Fast pace (102.1) | Toronto Raptors hot (HOT)
2025-11-02,Miami Heat @ Los Angeles Lakers,227.5,MAYBE,72,72,250.0,True,SKIPPED,Elite offense (avg ORtg: 117.8) | Fast pace (102.8) | Moderate buffer (14.9 pts above minimum)
