away_team,home_team,game,minimum_line,away_expected,home_expected,total_expected,game_tempo,simulations,hits,mc_probability,avg_simulated_total,std_simulated_total,percentile_5,percentile_10,percentile_25,percentile_75,percentile_90,percentile_95,mc_decision,confidence_level,flag_count,floor_safe,risk_flags,away_ortg,away_drtg,home_ortg,home_drtg,flags,away_injuries,home_injuries,actual_total,hit,estimated_vegas
New Orleans Pelicans,Dallas Mavericks,New Orleans Pelicans @ Dallas Mavericks,200.1,123.0,131.1,254.0,100.6,1000,993,99.3,250.9,20.6,215.2,224.3,237.5,265.3,277.1,284.1,MAYBE,MULTI_FLAG_HIGH,3,True,"['⚠️ Both teams mediocre offense (110.9 vs 105.3)', '🎲 New Orleans Pelicans high variance (±13.0)', '🎲 Dallas Mavericks high variance (±13.1)']",110.9,122.3,105.3,111.1,"{'slow_pace_game': False, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': True, 'high_variance': np.True_, 'injury_concern': False}",[],[],233.0,True,220.1
Miami Heat,Chicago Bulls,Miami Heat @ Chicago Bulls,225.2,142.6,135.0,277.5,103.6,1000,993,99.3,273.6,18.1,241.1,249.0,261.2,286.8,295.6,300.9,YES,HIGH_DESPITE_FLAG,1,True,['🎲 Miami Heat high variance (±13.3)'],116.7,111.1,115.9,118.7,"{'slow_pace_game': False, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.True_, 'injury_concern': False}",[],[],250.0,True,245.2
Washington Wizards,Toronto Raptors,Washington Wizards @ Toronto Raptors,213.3,123.2,152.2,275.4,101.2,1000,997,99.7,269.7,15.6,243.1,249.3,260.2,280.6,288.9,293.9,STRONG_YES,ELITE,0,True,[],109.0,124.7,119.4,112.5,"{'slow_pace_game': False, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.False_, 'injury_concern': False}",[],[],250.0,True,233.3
Portland Trail Blazers,Golden State Warriors,Portland Trail Blazers @ Golden State Warriors,215.1,132.5,138.4,270.9,101.1,1000,996,99.6,266.9,18.0,237.9,244.2,254.3,279.6,290.5,295.9,STRONG_YES,ELITE,0,True,[],116.2,118.2,114.5,113.6,"{'slow_pace_game': False, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.False_, 'injury_concern': False}",[],[],250.0,True,235.1
Toronto Raptors,Atlanta Hawks,Toronto Raptors @ Atlanta Hawks,217.7,135.3,133.2,268.5,100.8,1000,993,99.3,264.9,17.3,235.1,242.0,253.7,276.7,287.2,292.3,STRONG_YES,ELITE,0,True,[],119.4,112.5,116.2,113.3,"{'slow_pace_game': False, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.False_, 'injury_concern': False}",[],[],206.0,False,237.7
Boston Celtics,Orlando Magic,Boston Celtics @ Orlando Magic,212.89999999999998,133.5,134.4,267.9,98.3,1000,997,99.7,265.2,18.8,234.3,240.5,252.7,278.5,288.9,296.2,YES,HIGH_DESPITE_FLAGS,2,True,"['🐢 Boston Celtics slow pace (95.9)', '🎲 Boston Celtics high variance (±12.3)']",119.5,114.7,117.8,114.5,"{'slow_pace_game': True, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.True_, 'injury_concern': False}",[],[],233.0,True,232.89999999999998
Toronto Raptors,Atlanta Hawks,Toronto Raptors @ Atlanta Hawks,217.7,135.3,133.2,268.5,100.8,1000,999,99.9,265.0,17.5,235.9,242.6,253.3,277.1,287.4,293.2,STRONG_YES,ELITE,0,True,[],119.4,112.5,116.2,113.3,"{'slow_pace_game': False, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.False_, 'injury_concern': False}",[],[],206.0,False,237.7
Detroit Pistons,Brooklyn Nets,Detroit Pistons @ Brooklyn Nets,208.8,143.1,125.3,268.4,99.3,1000,1000,100.0,265.0,16.0,237.1,244.0,254.3,276.4,284.9,288.7,YES,HIGH_DESPITE_FLAG,1,True,['🐢 Brooklyn Nets slow pace (97.5)'],118.2,111.3,112.0,122.8,"{'slow_pace_game': True, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.False_, 'injury_concern': False}",[],[],232.0,True,228.8
Houston Rockets,San Antonio Spurs,Houston Rockets @ San Antonio Spurs,220.6,136.1,132.9,269.0,98.3,1000,997,99.7,266.5,17.1,237.8,243.2,254.3,278.3,289.6,293.3,YES,HIGH_DESPITE_FLAG,1,True,['🐢 Houston Rockets slow pace (96.4)'],124.2,112.9,118.4,112.3,"{'slow_pace_game': True, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': False, 'injury_concern': False}",[],[],231.0,True,240.6
Charlotte Hornets,Miami Heat,Charlotte Hornets @ Miami Heat,220.10000000000002,130.9,145.1,276.0,102.0,1000,994,99.4,271.0,18.6,236.7,245.0,259.8,284.6,293.7,299.2,YES,HIGH_DESPITE_FLAG,1,True,['🎲 Miami Heat high variance (±13.3)'],116.4,120.7,116.7,111.1,"{'slow_pace_game': False, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.True_, 'injury_concern': False}",[],[],234.0,True,240.10000000000002
